codigo_curto,municipio,uf,codigo_ibge,observacoes
SCS,São Caetano do Sul,SP,3548807,
SCSAO,São Carlos,SP,3548906,
SFSAO,São Francisco,SP,3549003,
SJBV,São João da Boa Vista,SP,3549102,
SJDP,São João das Duas Pontes,SP,3549201,
SJI,São João de Iracema,SP,3549250,
SJPDA,São João do Pau d'Alho,SP,3549300,
SJB,São Joaquim da Barra,SP,3549409,
SJBVI,São José da Bela Vista,SP,3549508,
SJBAR,São José do Barreiro,SP,3549607,
SJRP,São José do Rio Pardo,SP,3549706,
SJRPR,São José do Rio Preto,SP,3549805,
SJC,São José dos Campos,SP,3549904,
SLS,São Lourenço da Serra,SP,3549953,
SLP,São Luiz do Paraitinga,SP,3550001,
SMSAO,São Manuel,SP,3550100,
SMA,São Miguel Arcanjo,SP,3550209,
SPSAO,São Paulo,SP,3550308,
SPEDR,São Pedro,SP,3550407,
SPT,São Pedro do Turvo,SP,3550506,
SRSAO,São Roque,SP,3550605,
SSSAO,São Sebastião,SP,3550704,
SSG,São Sebastião da Grama,SP,3550803,
SSIMA,São Simão,SP,3550902,
SVSAO,São Vicente,SP,3551009,
SARA,Sarapuí,SP,3551108,
SARU,Sarutaiá,SP,3551207,
SSSEB,Sebastianópolis do Sul,SP,3551306,
SASER,Serra Azul,SP,3551405,
SERR,Serrana,SP,3551504,
SNSER,Serra Negra,SP,3551603,
SERT,Sertãozinho,SP,3551702,
SBSET,Sete Barras,SP,3551801,
SEVE,Severínia,SP,3551900,
SILV,Silveiras,SP,3552007,
SOCO,Socorro,SP,3552106,
SORO,Sorocaba,SP,3552205,
SMSUD,Sud Mennucci,SP,3552304,
SUMA,Sumaré,SP,3552403,
SUZA,Suzano,SP,3552502,
SUZA1,Suzanápolis,SP,3552551,
TABA,Tabapuã,SP,3552601,
TABA1,Tabatinga,SP,3552700,
TSTAB,Taboão da Serra,SP,3552809,
TACI,Taciba,SP,3552908,
TAGU,Taguaí,SP,3553005,
TAIA,Taiaçu,SP,3553104,
TAIU,Taiúva,SP,3553203,
TAMB,Tambaú,SP,3553302,
TANA,Tanabi,SP,3553401,
TAPI,Tapiraí,SP,3553500,
TAPI1,Tapiratiba,SP,3553609,
TAQU,Taquaral,SP,3553658,
TAQU1,Taquaritinga,SP,3553708,
TAQU2,Taquarituba,SP,3553807,
TAQU3,Taquarivaí,SP,3553856,
TARA,Tarabai,SP,3553906,
TARU,Tarumã,SP,3553955,
TATU,Tatuí,SP,3554003,
TAUB,Taubaté,SP,3554102,
TEJU,Tejupá,SP,3554201,
TSTEO,Teodoro Sampaio,SP,3554300,
TRTER,Terra Roxa,SP,3554409,
TIET,Tietê,SP,3554508,
TIMB,Timburi,SP,3554607,
TPTOR,Torre de Pedra,SP,3554656,
TORR,Torrinha,SP,3554706,
TRAB,Trabiju,SP,3554755,
TREM,Tremembé,SP,3554805,
TFTRE,Três Fronteiras,SP,3554904,
TUIU,Tuiuti,SP,3554953,
TUPA,Tupã,SP,3555000,
TPTUP,Tupi Paulista,SP,3555109,
TURI,Turiúba,SP,3555208,
TURM,Turmalina,SP,3555307,
UBAR,Ubarana,SP,3555356,
UBAT,Ubatuba,SP,3555406,
UBIR,Ubirajara,SP,3555505,
UCHO,Uchoa,SP,3555604,
UPUNI,União Paulista,SP,3555703,
URAN,Urânia,SP,3555802,
URU,Uru,SP,3555901,
URUP,Urupês,SP,3556008,
VGVAL,Valentim Gentil,SP,3556107,
VALI,Valinhos,SP,3556206,
VALP,Valparaíso,SP,3556305,
VARG,Vargem,SP,3556354,
VGS,Vargem Grande do Sul,SP,3556404,
VGP,Vargem Grande Paulista,SP,3556453,
VPVAR,Várzea Paulista,SP,3556503,
